name,client,site,work_type,owner,progress,start_date,end_date
北原物流倉庫新設,北原物流株式会社,埼玉県所沢市,建築,田中,進行,2025-07-08,2025-10-30
西浜堤防補強工事,西浜自治体,神奈川県藤沢市,土木,佐藤,予定,2025-08-15,2025-12-12
みなと商業施設改修,みなと開発合同会社,千葉県千葉市,建築,高橋,進行,2025-07-20,2025-09-28
青葉台配水池耐震化,青葉水道組合,東京都町田市,土木,山田,予定,2025-09-01,2026-01-15
柏原小学校耐震補強,柏原市教育委員会,大阪府柏原市,建築,斎藤,予定,2025-10-05,2026-02-28
星見橋補修工事,星見市役所,愛知県名古屋市,土木,伊藤,進行,2025-07-01,2025-11-18
瑞穂風力発電設備設置,瑞穂エナジー,北海道石狩市,その他,加藤,予定,2025-11-10,2026-05-30
中央病院外壁改修,中央医療法人,東京都新宿区,建築,中村,進行,2025-09-18,2026-01-20
桜ヶ丘トンネル照明更新,桜ヶ丘道路公団,静岡県富士市,土木,小林,完了,2025-07-05,2025-09-05
美山ダム取水ゲート更新,美山水資源機構,岐阜県郡上市,土木,渡辺,進行,2025-12-01,2026-03-25
東陽マンション大規模修繕,東陽管理組合,東京都江東区,建築,森,予定,2026-01-10,2026-06-20
新川太陽光パーク造成,新川再エネ合同会社,茨城県つくば市,その他,石井,進行,2025-08-25,2026-04-15
